date,revenue_cr,price
2026-04-23,37.960113,3463.0
2026-04-24,6.758275,3446.0
2026-04-27,6.454464,3534.6
2026-04-28,6.649616,3626.1
2026-04-29,24.789842,3635.7
2026-04-30,48.065696,3640.5
2026-05-04,11.02329,3711.3
2026-05-05,8.404755,3726.2
2026-05-06,34.073082,3852.1
2026-05-07,50.466382,3963.6
2026-05-08,7.879899,3907.4
2026-05-11,8.458885,3918.0
2026-05-12,8.620669,3851.9
2026-05-13,35.378573,3888.8
2026-05-14,52.13806,4037.6
2026-05-15,9.118014,4000.6
